,P/E Ratio,Beta,Market Cap,EPS Growth,ROE,Dividend Yield,Current Ratio,Quick Ratio,Insider Ownership
MMM,52.439693,0.995,74036436992.0,,0.24314,0.0208,1.36,0.97,0.00114
AOS,21.418606,1.147,12089091072.0,0.019,0.30341998,0.0154,1.698,1.012,0.00821
ABT,35.867508,0.722,197826625536.0,-0.051,0.14441,0.019299999,1.68,1.023,0.00525
ABBV,64.49,0.619,341733801984.0,-0.325,0.54262,0.032,0.807,0.594,0.00096000003
ACN,30.761208,1.239,210602835968.0,-0.02,0.26,0.0153,1.157,1.029,0.00074
ADBE,44.26271,1.296,231587807232.0,0.233,0.35355,,1.111,0.966,0.00215
AMD,185.65477,1.693,252401958912.0,8.553,0.024249999,,2.819,1.794,0.00493
AES,18.0,1.062,13436464128.0,,-0.01717,0.036199998,0.973,0.34,0.00481
AFL,11.37197,0.949,60438003712.0,0.144,0.23538,0.0185,1.411,1.263,0.10054
A,29.12474,1.054,40251777024.0,1.569,0.24658,0.0067000003,1.781,1.258,0.00273
APD,24.998264,0.828,64021987328.0,0.172,0.16211,0.024600001,1.269,1.028,0.0032499998
ABNB,17.847618,1.166,82961244160.0,-0.125,0.74175,,1.406,0.722,0.01008
AKAM,24.693546,0.676,15079109632.0,0.024,0.13906,,1.321,1.201,0.01821
ALB,,1.543,10111364096.0,,-0.04103,0.0188,2.668,1.546,0.0034999999
ARE,149.69136,1.173,21209778176.0,-0.511,0.01491,0.0429,2.778,2.673,0.00937
ALGN,42.928696,1.643,18887163904.0,-0.123,0.12088,,1.182,0.976,0.06599
ALLE,22.321144,1.123,12232783872.0,0.099,0.43199003,0.0137,1.659,1.181,0.0018799999
LNT,24.375511,0.57,15318179840.0,-0.466,0.094390005,0.0322,0.655,0.27,0.0022200001
ALL,17.427008,0.477,50431827968.0,,0.17841,0.019299999,0.378,0.241,0.0058
GOOGL,23.470589,1.039,2019943776256.0,0.314,0.30871,0.0049,2.079,1.897,0.00246
GOOG,23.655172,1.039,2019326164992.0,0.314,0.30871,0.0049,2.079,1.897,0.00018999999
MO,8.687931,0.687,85976424448.0,0.862,,0.081,0.455,0.281,0.00104
AMZN,45.619053,1.146,2010956955648.0,0.938,0.21933001,,1.096,0.84,0.08988
AMCR,21.8,0.861,15754206208.0,0.443,0.18400998,0.045900002,1.165,0.571,0.0029199999
AEE,19.327314,0.458,22844870656.0,0.075,0.10446999,0.0313,0.673,0.304,0.0027599998
AAL,,1.433,7230311424.0,-0.463,,,0.601,0.449,0.01274
AEP,20.43,0.533,54356058112.0,-0.366,0.10514,0.0345,0.655,0.32,0.00037
AXP,20.073881,1.212,191228215296.0,0.436,0.34977,0.0104,1.657,1.654,0.21439
AIG,14.049524,1.075,47497826304.0,,0.08733,0.0217,0.68,0.252,0.00302
AMT,44.018726,0.83,109792288768.0,0.882,0.21584,0.0276,0.597,0.524,0.0012800001
