index,ticker
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADBE
6,AMD
7,AES
8,AFL
9,A
10,APD
11,ABNB
12,AKAM
13,ALB
14,ARE
15,ALGN
16,ALLE
17,LNT
18,ALL
19,GOOGL
20,GOOG
21,MO
22,AMZN
23,AMCR
24,AEE
25,AAL
26,AEP
27,AXP
28,AIG
29,AMT
30,AWK
31,AMP
32,AME
33,AMGN
34,APH
35,ADI
36,ANSS
37,AON
38,APA
39,AAPL
40,AMAT
41,APTV
42,ACGL
43,ADM
44,ANET
45,AJG
46,AIZ
47,T
48,ATO
49,ADSK
50,ADP
51,AZO
52,AVB
53,AVY
54,AXON
55,BKR
56,BALL
57,BAC
58,BK
59,BBWI
60,BAX
61,BDX
62,BRK.B
63,BBY
64,BIO
65,TECH
66,BIIB
67,BLK
68,BX
69,BA
70,BKNG
71,BWA
72,BSX
73,BMY
74,AVGO
75,BR
76,BRO
77,BF.B
78,BLDR
79,BG
80,BXP
81,CHRW
82,CDNS
83,CZR
84,CPT
85,CPB
86,COF
87,CAH
88,KMX
89,CCL
90,CARR
91,CTLT
92,CAT
93,CBOE
94,CBRE
95,CDW
96,CE
97,COR
98,CNC
99,CNP
100,CF
101,CRL
102,SCHW
103,CHTR
104,CVX
105,CMG
106,CB
107,CHD
108,CI
109,CINF
110,CTAS
111,CSCO
112,C
113,CFG
114,CLX
115,CME
116,CMS
117,KO
118,CTSH
119,CL
120,CMCSA
121,CAG
122,COP
123,ED
124,STZ
125,CEG
126,COO
127,CPRT
128,GLW
129,CPAY
130,CTVA
131,CSGP
132,COST
133,CTRA
134,CRWD
135,CCI
136,CSX
137,CMI
138,CVS
139,DHR
140,DRI
141,DVA
142,DAY
143,DECK
144,DE
145,DAL
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DG
152,DLTR
153,D
154,DPZ
155,DOV
156,DOW
157,DHI
158,DTE
159,DUK
160,DD
161,EMN
162,ETN
163,EBAY
164,ECL
165,EIX
166,EW
167,EA
168,ELV
169,EMR
170,ENPH
171,ETR
172,EOG
173,EPAM
174,EQT
175,EFX
176,EQIX
177,EQR
178,ESS
179,EL
180,ETSY
181,EG
182,EVRG
183,ES
184,EXC
185,EXPE
186,EXPD
187,EXR
188,XOM
189,FFIV
190,FDS
191,FICO
192,FAST
193,FRT
194,FDX
195,FIS
196,FITB
197,FSLR
198,FE
199,FI
200,FMC
201,F
202,FTNT
203,FTV
204,FOXA
205,FOX
206,BEN
207,FCX
208,GRMN
209,IT
210,GE
211,GEHC
212,GEV
213,GEN
214,GNRC
215,GD
216,GIS
217,GM
218,GPC
219,GILD
220,GPN
221,GL
222,GDDY
223,GS
224,HAL
225,HIG
226,HAS
227,HCA
228,DOC
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HOLX
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUBB
242,HUM
243,HBAN
244,HII
245,IBM
246,IEX
247,IDXX
248,ITW
249,INCY
250,IR
251,PODD
252,INTC
253,ICE
254,IFF
255,IP
256,IPG
257,INTU
258,ISRG
259,IVZ
260,INVH
261,IQV
262,IRM
263,JBHT
264,JBL
265,JKHY
266,J
267,JNJ
268,JCI
269,JPM
270,JNPR
271,K
272,KVUE
273,KDP
274,KEY
275,KEYS
276,KMB
277,KIM
278,KMI
279,KKR
280,KLAC
281,KHC
282,KR
283,LHX
284,LH
285,LRCX
286,LW
287,LVS
288,LDOS
289,LEN
290,LLY
291,LIN
292,LYV
293,LKQ
294,LMT
295,L
296,LOW
297,LULU
298,LYB
299,MTB
300,MRO
301,MPC
302,MKTX
303,MAR
304,MMC
305,MLM
306,MAS
307,MA
308,MTCH
309,MKC
310,MCD
311,MCK
312,MDT
313,MRK
314,META
315,MET
316,MTD
317,MGM
318,MCHP
319,MU
320,MSFT
321,MAA
322,MRNA
323,MHK
324,MOH
325,TAP
326,MDLZ
327,MPWR
328,MNST
329,MCO
330,MS
331,MOS
332,MSI
333,MSCI
334,NDAQ
335,NTAP
336,NFLX
337,NEM
338,NWSA
339,NWS
340,NEE
341,NKE
342,NI
343,NDSN
344,NSC
345,NTRS
346,NOC
347,NCLH
348,NRG
349,NUE
350,NVDA
351,NVR
352,NXPI
353,ORLY
354,OXY
355,ODFL
356,OMC
357,ON
358,OKE
359,ORCL
360,OTIS
361,PCAR
362,PKG
363,PANW
364,PARA
365,PH
366,PAYX
367,PAYC
368,PYPL
369,PNR
370,PEP
371,PFE
372,PCG
373,PM
374,PSX
375,PNW
376,PNC
377,POOL
378,PPG
379,PPL
380,PFG
381,PG
382,PGR
383,PLD
384,PRU
385,PEG
386,PTC
387,PSA
388,PHM
389,QRVO
390,PWR
391,QCOM
392,DGX
393,RL
394,RJF
395,RTX
396,O
397,REG
398,REGN
399,RF
400,RSG
401,RMD
402,RVTY
403,ROK
404,ROL
405,ROP
406,ROST
407,RCL
408,SPGI
409,CRM
410,SBAC
411,SLB
412,STX
413,SRE
414,NOW
415,SHW
416,SPG
417,SWKS
418,SJM
419,SW
420,SNA
421,SOLV
422,SO
423,LUV
424,SWK
425,SBUX
426,STT
427,STLD
428,STE
429,SYK
430,SMCI
431,SYF
432,SNPS
433,SYY
434,TMUS
435,TROW
436,TTWO
437,TPR
438,TRGP
439,TGT
440,TEL
441,TDY
442,TFX
443,TER
444,TSLA
445,TXN
446,TXT
447,TMO
448,TJX
449,TSCO
450,TT
451,TDG
452,TRV
453,TRMB
454,TFC
455,TYL
456,TSN
457,USB
458,UBER
459,UDR
460,ULTA
461,UNP
462,UAL
463,UPS
464,URI
465,UNH
466,UHS
467,VLO
468,VTR
469,VLTO
470,VRSN
471,VRSK
472,VZ
473,VRTX
474,VTRS
475,VICI
476,V
477,VST
478,VMC
479,WRB
480,GWW
481,WAB
482,WBA
483,WMT
484,DIS
485,WBD
486,WM
487,WAT
488,WEC
489,WFC
490,WELL
491,WST
492,WDC
493,WY
494,WMB
495,WTW
496,WYNN
497,XEL
498,XYL
499,YUM
500,ZBRA
501,ZBH
502,ZTS
